"question","reponse","gouvernement"
"Quelle est la mission de la Cité de la Céramique ?","En janvier 2010, la Manufacture nationale de Sèvres et le Musée national de la céramique ont été réunis en un établissement public administratif du ministère de la culture et de la communication Sèvres – Cité de la céramique.
Depuis mai 2012, l'établissement a été rejoint par le Musée national Adrien Dubouché de Limoges ; il devient la Cité de la céramique - Sèvres & Limoges. Ce nouvel établissement public renforce son ambitieux projet de Pôle international de la céramique et des arts du feu, en croisant les synergies respectives des trois établissements, dans le respect de leurs missions respectives et pour un rayonnement affirmé de la céramique.
Une politique scientifique et patrimoniale, une stratégie de développement culturel sont désormais engagées au sein de la Cité de la céramique-Sèvres & Limoges.
La Cité représente pleinement  la richesse des collections nationales et l'excellence des métiers d'art et de la création en France.","1"
"Impôt sur le revenu - Faut-il déclarer les aides sociales et les aides versées par l'employeur ?","Vous n'avez
pas à les déclarer
.
Vous bénéficiez d'une
exonération totale
pour les aides suivantes :
Les aides accordées par votre employeur sont
exonérées dans certaines limites
.
Vous devez déclarer uniquement la somme qui dépasse cette limite.
Cette limite varie selon l'aide concernée.
L'exonération de la participation financière versée par votre employeur dépend de l'année concernée :
L'exonération de la participation financière versée par votre employeur est limitée à
7,18 €
.
L'exonération de la participation financière versée par votre employeur est limitée à
7,26 €
.
L'exonération de la participation financière versée par votre employeur est limitée
1 802 €
pour les chèques-vacances acquis en 2024 (pour un salarié effectuant 35 heures hebdomadaires).
Votre employeur doit financer une partie de vos frais d'abonnement aux transports publics (transports en commun ou services publics de location de vélos).
L'exonération de la participation financière versée par votre employeur dépend de l'année concernée :
L'exonération de la participation financière versée par votre employeur est limitée à
75 %
de vos frais.
L'exonération de la participation financière versée par votre employeur est limitée à
75 %
de vos frais.
Votre employeur peut vous verser une une aide financière appelée
forfait mobilités durables
, si vous utilisez un mode de transport respectueux de l’environnement pour vos trajets domicile-travail (par exemple, vélo, covoiturage, engin de déplacement personnel).
Si votre employeur vous verse un forfait mobilités durables, sa participation financière est exonérée d'impôt dans une certaine limite.
L'exonération de la participation versée par votre employeur dépend de l'année concernée :
L'exonération du forfait mobilités durables versé par votre employeur est limitée à
700 €
(
900 €
dans les
Drom
: titleContent
).
Si vous bénéficiez aussi d'une prime de transport (correspondant à la prise en charge facultative par l'employeur des frais de carburant ou des frais d’alimentation de véhicules électriques, hybrides rechargeables ou hydrogène), l'exonération globale est limitée.
Cette limite est fixée à
700 €
, dont
400 €
maximum pour frais de carburant (
900 €
dont
600 €
en outre-mer) .
Si vous bénéficiez à la fois de la prise en charge des frais d'abonnement aux transports publics et du forfait mobilités durables, le cumul est exonéré jusqu'à
800 €
(ou
50 %
de vos frais si ce montant est plus élevé).
L'exonération du forfait mobilités durables versé par votre employeur est limitée à
600 €
.
Si vous bénéficiez aussi d'une prime de transport (correspondant à la prise en charge facultative par l'employeur des frais de carburant ou des frais d’alimentation de véhicules électriques, hybrides rechargeables ou hydrogène), l'exonération globale est limitée.
Cette limite est fixée à
600 €
, dont
300 €
maximum pour frais de carburant.
Si vous bénéficiez à la fois de la prise en charge des frais d'abonnement aux transports publics et du forfait mobilités durables, le cumul est exonéré jusqu'à
900 €
(ou
50 %
de vos frais si ce montant est plus élevé).
Si vous bénéficiez d'une aide financière pour le paiement de services d'aide à la personne, cette somme est exonérée d'impôt dans une limite annuelle.
L'aide financière pour le paiement de services d'aide à la personne est exonérée d'impôt dans la limite de
2 421 €
par an.
L'aide financière pour le paiement de services d'aide à la personne est exonérée d'impôt dans la limite de
2 421 €
par an.
Vous n'avez pas à déclarer le cadeau fait par votre employeur pour un événement personnel (mariage, naissance, anniversaire, fêtes de Noël).
Ce peut être un cadeau en nature, ou sous forme de chèques-cadeaux, ou d'un bon d'achat.
La valeur du cadeau ne doit pas dépasser
193 €
par événement (par enfant du salarié, pour Noël).
Établissement public de coopération intercommunale
Guadeloupe - Guyane - Martinique - Mayotte - La Réunion","1"
"Voyageur : Quelles sont les informations demandées à l'hôte pour vérifier son identité ?","L’hôte fourni à leboncoin des informations relatives à son identité : carte d’identité ou passeport.Le document d’identité de l'hôte est transmis de manière sécurisée à notre partenaire de paiement Adyen qui s’assure de la véracité du document.Néanmoins, le service client leboncoin est le seul habilité à répondre à toute demande relative à la vérification d'identité et au paiement des ventes des utilisateurs du site.A ce titre, notre partenaire Adyen ne doit pas être sollicité, ce dernier n'étant pas en capacité de répondre aux utilisateurs leboncoin.Ce document est strictement confidentiel, et n’est pas stocké par leboncoin.L’hôte fournit également à leboncoin des informations concernant son compte bancaire. Nous vérifions que le compte bancaire de l’hôte est domicilié en France avant de l’ouvrir à la réservation en ligne.","0"
"Comment savoir si un bébé fait des allergies ?","Observez le comportement et les symptômes du bébé après une sortie en extérieur. Si vous observez que son nez coule, qu’il éternue, qu’il se frotte le nez ou devient irritable, il est probable qu’il fasse une réaction allergique.","0"
"Peut-on circuler à l'étranger avec une carte grise barrée ?","En général
, si la carte grise est
barrée
, vous ne pouvez
pas
conduire le véhicule
à l'étranger
.
Si vous souhaitez immatriculer un véhicule acheté en France pour
l'exporter
, vérifiez auprès de l'
ambassade
ou
consulat
du pays concerné que vous pouvez circuler avec la carte grise barrée.
Si vous avez un
certificat provisoire d'immatriculation (CPI)
, il permet de circuler
en France uniquement
, et cela pendant
1 mois
dans l'attente de la réception de la carte grise définitive.
Si vous avez un
CPI WW
: titleContent
, il
permet de circuler à l'étranger
. Toutefois, la validité internationale d'un CPI WW français reste soumise à l'
accord du pays
dans lequel vous allez circuler. Renseignez-vous auprès de l'ambassade ou de la douane du pays concerné.
Concerne les véhicules neufs vendus incomplets, les véhicules neufs et d'occasion importés, les véhicules neufs destinés à l'exportation, les véhicules d'occasion destinés à l'exportation qui ont un ancien numéro d'immatriculation, certaines machines agricoles","1"
"Se protéger et réagir face aux escroqueries à la livraison","Qu’est-ce que l’escroquerie à la livraison ?J’ai reçu un message de livraison suspect : que faire ?Je suis victime d’une escroquerie à la livraison : que faire ?Note: Ces recommandations sont tirées du site du gouvernement cybermalveillance.gouv.fr. Pour plus d’informations,cliquez ici.Si vous pensez être victime de cybermalveillance, vous pouvez établir un diagnostic et consulter les recommandations du gouvernement sur le site17cyber.gouv.fr.Qu’est-ce que l’escroquerie à la livraison ?Ce type d’escroquerie entre dans la catégorie de cybermalveillance appelée lehameçonnage(phishing en anglais) qui vise à usurper l’identité d’une marque ou d’une organisation connue pour inciter la victime à fournir des informations personnelles ou confidentielles.Dans le cas des escroqueries à la livraison de colis, les victimes reçoivent un message (e-mail ou SMS) qui semble provenir de sociétés de transport telles que La Poste, Colissimo, DPD, Chronopost, UPS, etc. Ce message renvoie ensuite vers un site Internet frauduleux, où des informations personnelles peuvent être demandées : identité, adresse postale ou électronique, numéro de téléphone, etc.Exemple de message d’escroquerie à la livraison de colis reçu par email :Exemple de message d’escroquerie à la livraison reçu par SMS :J’ai reçu un message de livraison suspect : que faire ?Sachez tout d’abord que les entreprises de livraison ne vous demanderont jamais par SMS ou par mail un quelconque paiement pour recevoir un colis.En cas de doute :Contactez directement l’entreprise de livraison concernée pour confirmer le message que vous avez reçu.N’ouvrez pas les messages suspects et leurs pièces jointes, et ne cliquez jamais sur les liens qu’ils contiennent.Positionnez le curseur de votre souris sur le lien douteux (sans cliquer). Cela affichera l’adresse vers laquelle il pointe réellement afin d’en vérifier la vraisemblance.Si vous avez cliqué sur le lien, vérifiez l’adresse du site qui s’affiche dans votre navigateur. Si cela ne correspond pas exactement au site concerné, il s’agit certainement d’un site frauduleux.Signalez tout message (mail) ou site douteux àSignal Spam. S’il s’agit d’un SMS, signalez-le sur la plateforme33700ou par SMS au 33 700.Signalez l’adresse du site d’hameçonnage àPhishing Initiativequi bloquera l’adresse de ce site et demandera sa suppression.Signalez également les messages et sites douteux aux sociétés de livraison dont l’identité est usurpée.Signalez la tentative d’escroquerie sur la plateforme dédiée du ministère de l’Intérieur :Internet-signalement.gouv.fr.Je suis victime d’une escroquerie à la livraison : que faire ?Contactez la véritable entreprise de livraison pour confirmer l’escroquerie.Faites opposition immédiatement auprès de votre organisme bancaire.Conservez les informations du message que vous avez reçu ainsi que l’adresse du site malveillant.Si vous constatez des débits frauduleux liés à votre carte bancaire, signalez les faits sur la plateformePercevaldu ministère de l’Intérieur.Déposez plainte auprès des autorités.Contactez votre banque pour vous faire rembourser.Pour être conseillé dans vos démarches, contactez la plateformeInfo Escroqueriesdu ministère de l’Intérieur au 0 805 805 817.","0"
"Est ce que je peux récupérer en préfecture une déclaration de perte pour mon permis ou mon certificat d'immatriculation ?","La déclaration de perte d'un permis ou d'un certificat d'immatriculation ne se fait plus en préfecture. Cela se fait directement avec votre demande de duplicata en ligne.
Pour votre permis, cliquez
ici
Pour votre certificat d’immatriculation, cliquez
ici
En cas de vol, vous devez vous rendre au commissariat ou gendarmerie le plus proche.
Lien: https://permisdeconduire.ants.gouv.fr/demarches-en-ligne/perte-ou-vol-de-permis
Lien: https://immatriculation.ants.gouv.fr/demarches-en-ligne/refaire-votre-certificat-dimmatriculation","1"
"Qu’est-ce que le label Ville et pays d’art et d’histoire ?","Le label « Ville ou Pays d’art et d’histoire » a été créé en 1985 par le ministère de la Culture et de la Communication en partenariat avec les collectivités territoriales. Il est attribué à des territoires, communes ou regroupements de communes, qui s’attachent à la valorisation et à la médiation de leur patrimoine.
Il a été attribué à
137 Villes et Pays d’art et d’histoire
, qui s’engagent dans une démarche active de connaissance, de conservation, de médiation et de soutien à la qualité architecturale et du cadre de vie.
Avantages et fiscalité
Le ministère de la Culture et de la Communication apporte un soutien aux collectivités locales, qui est spécifique au territoire concerné et commun à l’ensemble des Villes et Pays d’art et d’histoire.
Outre un accompagnement financier pendant les cinq premières années de la convention, il se traduit par des formations à l’intention des animateurs de l’architecture et du patrimoine et des guides-conférenciers.
Les Villes et Pays d’art et d’histoire constituent, par ailleurs, un réseau national qui permet l’échange des expériences les plus innovantes.
Contraintes
Le conseil national des Villes et Pays d’art et d’histoire, créé en 1995, émet un avis sur les retraits du label consécutifs au non-respect de la convention.","1"
"Peut-on mettre fin au mandat en cours d'un syndic de copropriété ?","La résiliation du contrat de syndic peut être demandée par le
conseil syndical
ou par le syndic lui-même.
Le
conseil syndical
peut demander à mettre fin au contrat en cours du syndic si les
faits
qui lui sont reprochés sont
suffisamment graves.
Il peut s'agir, par exemple, de fautes de gestion, de la non-exécution des décisions prises en assemblée générale des copropriétaires, du non-paiement des charges de copropriété.
Lorsque le conseil syndical est à l'initiative de la résiliation du contrat du syndic, il notifie au syndic une
demande motivée d'inscription
de cette question
à l'ordre du jour de la prochaine assemblée générale
, en précisant la ou les inexécutions qui lui sont reprochées.
Le syndic doit convoquer une assemblée générale dans un délai de
2 mois à partir de la 1
re
présentation de la lettre recommandée
, lorsque le président du conseil syndical en a fait la demande.
Si le syndic n'a pas envoyé la convocation dans le délai, c'est le président du conseil syndical qui convoque l'assemblée générale.
La décision d'arrêter le contrat du syndic doit être votée à la
majorité absolue des copropriétaires
.
Sans majorité absolue et si la décision d'arrêter le contrat recueille au moins ⅓ des voix des copropriétaires, la même assemblée doit faire un 2
nd
vote à la
majorité simple
. Par contre, si la décision recueille moins du ⅓ des voix, une nouvelle assemblée générale doit être convoquée dans les 3 mois pour procéder à un vote à la majorité simple.
L'assemblée générale peut se prononcer sur la date d'arrêt du contrat du syndic. Le contrat doit intervenir au plus tôt 1
jour franc
: titleContent
après la tenue de l'assemblée générale.
Le président du conseil syndical peut
faire un recours auprès du tribunal du lieu de situation de l'immeuble
pour demander des
dommages et intérêts
: titleContent
pour les faits reprochés au syndic.
En cas de condamnation du syndic, les dommages et intérêts sont versés au syndicat de copropriétaires.
Le syndic peut également
demander à mettre fin à son contrat en cours
.
Dans ce cas, il doit notifier sa volonté de résilier son contrat au président du conseil syndical et à l'ensemble des copropriétaires, en précisant la ou les
inexécutions reprochées
au syndicat des copropriétaires.
Dans les 2 mois qui suivent la notification, le syndic convoque une assemblée générale et inscrit à l'ordre du jour la question de la désignation d'un nouveau syndic.
La résiliation du contrat prend effet au plus tôt 1
jour franc
: titleContent
après la tenue de l'assemblée générale.
Lorsqu'au cours de cette assemblée générale le syndicat des copropriétaires désigne un nouveau syndic, il fixe la date de la prise d'effet de son contrat.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Les informateurs qui vous répondent appartiennent au ministère en charge du logement et de l'urbanisme.
Jour qui dure de 0h à 24h. Un délai ainsi calculé ne tient pas compte du jour de la décision à l'origine du délai, ni du jour de l'échéance. Si le délai s'achève un samedi ou un dimanche, il est reporté au lundi. Si le délai s'achève un jour férié, il est reporté d'un jour. Ainsi, par exemple, si un délai s'achève un samedi et le lundi suivant est un jour férié, il est reporté au mardi.
Somme d'argent destinée à réparer le préjudice subi","1"
"Peut-on louer un logement dans une cave, dans un sous-sol ou dans les combles ?","Vous voulez louer votre sous-sol ou vos combles ? Les locaux doivent remplir certaines conditions pour être habitables. Ils doivent respecter les
caractéristiques de décence
.
Nous faisons le point sur le sujet.
La cave est un local souterrain sans ouverture vers l'extérieur.
Vous ne pouvez
pas louer
votre cave quels que soient les aménagements et transformations que vous y faites.
Oui
, vous pouvez louer un logement dans un sous-sol s'il ne présente
pas un risque pour la santé du locataire
.
Il doit être
aménagé
pour un
usage d'habitation
et répondre aux
critères
suivants :
Oui
, vous pouvez louer un logement dans des combles. Ils doivent être
aménagés
pour un
usage d'habitation
et répondre aux
critères
suivants :
0 806 706 806
Ouvert de 9h à 12h et de 14h à 17h
Coût d'un appel local","1"
